Model Type,Training Data,Test Data,Accuracy,F1,AUC
Ghostbuster,gpt_wp,gpt_wp,0.985981308411215,0.9855769230769231,0.999803368945402
Ghostbuster,gpt_wp,gpt_reuter,0.9535588086824835,0.9542743538767396,0.9976747459047992
Ghostbuster,gpt_wp,gpt_essay,0.9680511182108626,0.9685534591194969,0.9978257540958505
Ghostbuster,gpt_wp,claude_wp,0.8161764705882353,0.755700325732899,0.9755744002319344
Ghostbuster,gpt_wp,claude_reuter,0.9471813103098019,0.9473684210526316,0.9910199613783989
Ghostbuster,gpt_wp,claude_essay,0.9618573797678275,0.9608177172061327,0.9948522927689595
Ghostbuster,gpt_reuter,gpt_wp,0.9415887850467289,0.9400479616306955,0.9833955998339561
Ghostbuster,gpt_reuter,gpt_reuter,0.99444724886421,0.9942975635044063,0.9999082136541367
Ghostbuster,gpt_reuter,gpt_essay,0.963258785942492,0.9628432956381261,0.9950594600112285
Ghostbuster,gpt_reuter,claude_wp,0.5416666666666666,0.13023255813953485,0.6336643231620401
Ghostbuster,gpt_reuter,claude_reuter,0.8369730827831386,0.7987460815047022,0.9822764026147031
Ghostbuster,gpt_reuter,claude_essay,0.8043117744610282,0.7531380753138075,0.9407627865961199
Ghostbuster,gpt_essay,gpt_wp,0.955607476635514,0.9526184538653366,0.9956522689038911
Ghostbuster,gpt_essay,gpt_reuter,0.9909136799596163,0.9906542056074766,0.9993319993717735
Ghostbuster,gpt_essay,gpt_essay,0.9808306709265175,0.9805825242718447,0.9993364977287807
Ghostbuster,gpt_essay,claude_wp,0.5612745098039216,0.10945273631840795,0.8326447778502573
Ghostbuster,gpt_essay,claude_reuter,0.8339258506856272,0.7947269303201506,0.9792889081652674
Ghostbuster,gpt_essay,claude_essay,0.8474295190713101,0.8130081300813009,0.9832231040564373
Ghostbuster,claude_wp,gpt_wp,0.927570093457944,0.9215189873417722,0.9832863603591794
Ghostbuster,claude_wp,gpt_reuter,0.8642099949520444,0.8668975754576942,0.941398497559503
Ghostbuster,claude_wp,gpt_essay,0.8817891373801917,0.8664259927797834,0.984453631398969
Ghostbuster,claude_wp,claude_wp,0.9754901960784313,0.973404255319149,0.9983088110941992
Ghostbuster,claude_wp,claude_reuter,0.8969019807008634,0.9015996122152207,0.972940095211541
Ghostbuster,claude_wp,claude_essay,0.9933665008291874,0.9930795847750865,0.9974206349206348
Ghostbuster,claude_reuter,gpt_wp,0.9626168224299065,0.960591133004926,0.9960455310130869
Ghostbuster,claude_reuter,gpt_reuter,0.9782937910146391,0.9778692743180648,0.997652309242477
Ghostbuster,claude_reuter,gpt_essay,0.952076677316294,0.9498327759197324,0.9958964936456898
Ghostbuster,claude_reuter,claude_wp,0.8578431372549019,0.8209876543209877,0.9810345244135198
Ghostbuster,claude_reuter,claude_reuter,0.9771457592686643,0.9765258215962441,0.9976796059357477
Ghostbuster,claude_reuter,claude_essay,0.988391376451078,0.9878260869565219,0.998015873015873
Ghostbuster,claude_essay,gpt_wp,0.955607476635514,0.9526184538653366,0.9942758515217058
Ghostbuster,claude_essay,gpt_reuter,0.9217566885411408,0.9226160758861708,0.9839159726599072
Ghostbuster,claude_essay,gpt_essay,0.9456869009584664,0.9427609427609428,0.9937222477415404
Ghostbuster,claude_essay,claude_wp,0.9656862745098039,0.9617486338797814,0.9977772945809475
Ghostbuster,claude_essay,claude_reuter,0.9390553580497715,0.9404170804369415,0.9921424662060989
Ghostbuster,claude_essay,claude_essay,0.9933665008291874,0.9930795847750865,0.9986000881834215
