Model Type,Training Data,Test Data,Accuracy,F1,AUC
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,gpt_wp,0.985981308411215,0.9856459330143541,0.9994101068362063
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,gpt_reuter,0.9909136799596163,0.9907216494845361,0.9993065031645891
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,gpt_essay,0.9776357827476039,0.9771986970684038,0.9958862859184402
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,claude_wp,0.8602941176470589,0.8256880733944955,0.9649923896499238
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,claude_reuter,0.9456576942610462,0.9414340448823207,0.9933703026735649
"Ghostbuster (Depth Three, No Handcrafted)",gpt_wp,claude_essay,0.9618573797678275,0.9588550983899821,0.9945436507936508
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,gpt_wp,0.985981308411215,0.9856459330143541,0.9990386926219659
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,gpt_reuter,0.9954568399798082,0.9953392024857587,0.9997389188384336
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,gpt_essay,0.9744408945686901,0.9738562091503268,0.9979788700045934
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,claude_wp,0.6176470588235294,0.31578947368421056,0.8518035321688291
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,claude_reuter,0.8440832910106653,0.8091982597886886,0.9887801150386732
"Ghostbuster (Depth Three, No Handcrafted)",gpt_reuter,claude_essay,0.824212271973466,0.777310924369748,0.9765321869488536
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,gpt_wp,0.9626168224299065,0.9609756097560976,0.9972471652356296
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,gpt_reuter,0.9878849066128218,0.9876796714579056,0.9992157366670135
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,gpt_essay,0.9920127795527156,0.9919484702093397,0.9993262900015312
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,claude_wp,0.5784313725490197,0.19626168224299065,0.8531081636104467
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,claude_reuter,0.9136617572371762,0.9043869516310461,0.9842859650753327
"Ghostbuster (Depth Three, No Handcrafted)",gpt_essay,claude_essay,0.8557213930348259,0.823529411764706,0.9843033509700175
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,gpt_wp,0.8294392523364486,0.792022792022792,0.9603679185510476
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,gpt_reuter,0.7809187279151943,0.7461988304093568,0.8987474223334537
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,gpt_essay,0.6150159744408946,0.37402597402597404,0.9582197723676824
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,claude_wp,0.9779411764705882,0.976,0.9978256142639704
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,claude_reuter,0.9182326053834434,0.917815211842777,0.9730041203259086
"Ghostbuster (Depth Three, No Handcrafted)",claude_wp,claude_essay,0.988391376451078,0.987783595113438,0.9971009700176366
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,gpt_wp,0.969626168224299,0.9682151589242053,0.997137925760853
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,gpt_reuter,0.98334174659263,0.9831202046035805,0.9991270098660123
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,gpt_essay,0.9536741214057508,0.9514237855946398,0.9974174450058695
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,claude_wp,0.9240196078431373,0.9116809116809116,0.9881375178178832
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,claude_reuter,0.9746063991874048,0.9738766980146292,0.9977818395861086
"Ghostbuster (Depth Three, No Handcrafted)",claude_reuter,claude_essay,0.9850746268656716,0.9842381786339754,0.9992724867724867
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,gpt_wp,0.9649532710280374,0.9643705463182898,0.9935330230932249
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,gpt_reuter,0.9050984351337709,0.9109848484848485,0.9949680685501224
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,gpt_essay,0.963258785942492,0.9618573797678275,0.9968968509161436
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,claude_wp,0.9632352941176471,0.9606299212598425,0.9911574980068131
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,claude_reuter,0.9065515490096495,0.9120458891013384,0.9951619732127183
"Ghostbuster (Depth Three, No Handcrafted)",claude_essay,claude_essay,0.9950248756218906,0.9948006932409013,0.9993276014109348
"Ghostbuster (Depth Three, No Symbolic)",gpt_wp,gpt_wp,0.852803738317757,0.8474576271186441,0.9272028140088704
